Player,Age,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Succ%,Lng,Y/Tgt,R/G,Y/G,Fmb,Fantasy_Points,Year
A.J. Brown,24,13,13,105,63,0.6,869,13.8,5,45,0.505,57,8.3,4.8,66.8,0,148.4,2021
A.J. Brown,25,17,16,145,88,0.607,1496,17.0,11,59,0.517,78,10.3,5.2,88.0,2,259.6,2022
A.J. Brown,26,17,17,158,106,0.671,1456,13.7,7,70,0.563,59,9.2,6.2,85.6,2,240.6,2023
A.J. Green,30,9,9,77,46,0.597,694,15.1,6,37,0.571,38,9.0,5.1,77.1,2,128.4,2018
A.J. Green,32,16,14,104,47,0.452,523,11.1,2,34,0.404,33,5.0,2.9,32.7,0,87.8,2020
A.J. Green,33,16,9,92,54,0.587,848,15.7,3,37,0.533,42,9.2,3.4,53.0,0,129.8,2021
Aaron Jones,26,14,14,63,47,0.746,355,7.6,2,15,0.492,30,5.6,3.4,25.4,2,71.0,2020
Aaron Jones,27,15,15,65,52,0.8,391,7.5,6,22,0.508,26,6.0,3.5,26.1,2,101.1,2021
Aaron Jones,28,17,17,72,59,0.819,395,6.7,5,19,0.444,30,5.5,3.5,23.2,5,99.0,2022
Adam Humphries,25,16,10,105,76,0.724,816,10.7,5,48,0.571,51,7.8,4.8,51.0,2,149.6,2018
Adam Humphries,26,12,3,47,37,0.787,374,10.1,2,20,0.596,30,8.0,3.1,31.2,1,67.9,2019
Adam Humphries,28,17,11,62,41,0.661,383,9.3,0,23,0.435,27,6.2,2.4,22.5,0,58.8,2021
Adam Thielen,31,13,13,95,67,0.705,726,10.8,10,37,0.505,35,7.6,5.2,55.8,1,166.1,2021
Adam Thielen,32,17,17,107,70,0.654,716,10.2,6,45,0.495,36,6.7,4.1,42.1,0,142.6,2022
Adam Thielen,33,17,17,137,103,0.752,1014,9.8,4,56,0.584,32,7.4,6.1,59.6,2,176.9,2023
Allen Lazard,25,10,9,46,33,0.717,451,13.7,3,23,0.696,72,9.8,3.3,45.1,0,79.6,2020
Allen Lazard,26,15,13,60,40,0.667,513,12.8,8,28,0.6,42,8.6,2.7,34.2,0,119.3,2021
Allen Lazard,27,15,15,100,60,0.6,788,13.1,6,45,0.55,47,7.9,4.0,52.5,0,144.8,2022
Allen Robinson,27,16,16,151,102,0.675,1250,12.3,6,68,0.583,42,8.3,6.4,78.1,0,212.0,2020
Allen Robinson,28,12,11,66,38,0.576,410,10.8,1,22,0.47,39,6.2,3.2,34.2,0,66.0,2021
Allen Robinson,29,10,10,52,33,0.635,339,10.3,3,23,0.538,29,6.5,3.3,33.9,0,68.4,2022
Alvin Kamara,26,13,10,67,47,0.701,439,9.3,5,20,0.433,31,6.6,3.6,33.8,0,97.4,2021
Alvin Kamara,27,15,13,77,57,0.74,490,8.6,2,17,0.468,54,6.4,3.8,32.7,4,89.5,2022
Alvin Kamara,28,13,12,86,75,0.872,466,6.2,1,23,0.453,25,5.4,5.8,35.8,0,90.1,2023
Amari Cooper,27,15,14,104,68,0.654,865,12.7,8,45,0.538,41,8.3,4.5,57.7,1,168.5,2021
Amari Cooper,28,17,17,132,78,0.591,1160,14.9,9,61,0.53,55,8.8,4.6,68.2,0,209.0,2022
Amari Cooper,29,15,15,128,72,0.563,1250,17.4,5,50,0.531,75,9.8,4.8,83.3,2,191.0,2023
