Player,Age,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Succ%,Lng,Y/Tgt,R/G,Y/G,Fmb,Year,Fantasy_Points
A.J. Green*,27,16,16,132,86,0.652,1297,15.1,10,63,0.606,80,9.8,5.4,81.1,1,2015,189.7
A.J. Green*,28,10,10,100,66,0.66,964,14.6,4,42,0.54,54,9.6,6.6,96.4,0,2016,120.4
A.J. Green*,29,16,16,143,75,0.524,1078,14.4,8,55,0.455,77,7.5,4.7,67.4,2,2017,155.8
Alshon Jeffery,24,16,16,145,85,0.586,1133,13.3,10,60,0.51,74,7.8,5.3,70.8,1,2014,173.3
Alshon Jeffery,25,9,8,94,54,0.574,807,14.9,4,43,0.511,50,8.6,6.0,89.7,1,2015,104.7
Alshon Jeffery,27,16,16,120,57,0.475,789,13.8,9,44,0.433,53,6.6,3.6,49.3,0,2017,132.9
Anquan Boldin,34,16,16,130,83,0.638,1062,12.8,5,56,0.562,76,8.2,5.2,66.4,0,2014,136.2
Anquan Boldin,35,14,13,111,69,0.622,789,11.4,4,36,0.468,51,7.1,4.9,56.4,1,2015,102.9
Anquan Boldin,36,16,16,95,67,0.705,584,8.7,8,41,0.589,35,6.1,4.2,36.5,0,2016,106.4
Antonio Brown*+,27,16,16,193,136,0.705,1834,13.5,10,84,0.56,59,9.5,8.5,114.6,3,2015,243.4
Antonio Brown*+,28,15,15,154,106,0.688,1284,12.1,12,64,0.513,51,8.3,7.1,85.6,0,2016,200.4
Antonio Brown*+,29,14,14,163,101,0.62,1533,15.2,9,69,0.509,57,9.4,7.2,109.5,4,2017,207.3
Brandin Cooks,22,16,12,129,84,0.651,1138,13.5,9,45,0.473,71,8.8,5.3,71.1,1,2015,167.8
Brandin Cooks,23,16,12,117,78,0.667,1173,15.0,8,46,0.521,98,10.0,4.9,73.3,1,2016,165.3
Brandin Cooks,24,16,15,114,65,0.57,1082,16.6,7,42,0.491,64,9.5,4.1,67.6,0,2017,150.2
Demaryius Thomas*,27,16,16,184,111,0.603,1619,14.6,11,69,0.505,86,8.8,6.9,101.2,0,2014,227.9
Demaryius Thomas*,28,16,16,177,105,0.593,1304,12.4,6,63,0.492,72,7.4,6.6,81.5,2,2015,166.4
Demaryius Thomas*,29,16,16,144,90,0.625,1083,12.0,5,50,0.528,55,7.5,5.6,67.7,2,2016,138.3
Doug Baldwin,25,16,9,72,50,0.694,778,15.6,5,38,0.569,52,10.8,3.1,48.6,0,2013,107.8
Doug Baldwin,26,16,16,98,66,0.673,825,12.5,3,43,0.51,49,8.4,4.1,51.6,0,2014,100.5
Doug Baldwin,27,16,16,103,78,0.757,1069,13.7,14,49,0.65,80,10.4,4.9,66.8,1,2015,190.9
Eric Decker,26,16,16,136,87,0.64,1288,14.8,11,63,0.581,61,9.5,5.4,80.5,2,2013,194.8
Eric Decker,27,15,15,115,74,0.643,962,13.0,5,47,0.539,74,8.4,4.9,64.1,0,2014,126.2
Eric Decker,28,15,13,132,80,0.606,1027,12.8,12,60,0.538,35,7.8,5.3,68.5,1,2015,174.7
Golden Tate,27,16,16,128,90,0.703,813,9.0,6,50,0.523,43,6.4,5.6,50.8,1,2015,117.3
Golden Tate,28,16,16,135,91,0.674,1077,11.8,4,47,0.496,67,8.0,5.7,67.3,2,2016,131.7
Golden Tate,29,16,12,120,92,0.767,1003,10.9,5,44,0.55,71,8.4,5.8,62.7,1,2017,130.3
Greg Olsen*,29,16,16,123,84,0.683,1008,12.0,6,55,0.61,38,8.2,5.3,63.0,1,2014,136.8
Greg Olsen*,30,16,16,124,77,0.621,1104,14.3,7,52,0.532,52,8.9,4.8,69.0,1,2015,152.4
Greg Olsen*,31,16,16,129,80,0.62,1073,13.4,3,54,0.574,78,8.3,5.0,67.1,0,2016,125.3
James Jones,28,16,16,98,64,0.653,784,12.3,14,45,0.571,49,8.0,4.0,49.0,0,2012,162.4
James Jones,30,16,10,112,73,0.652,666,9.1,6,40,0.429,42,5.9,4.6,41.6,3,2014,102.6
James Jones,31,16,15,99,50,0.505,890,17.8,8,40,0.465,65,9.0,3.1,55.6,1,2015,137.0
Jarvis Landry*,23,16,14,166,110,0.663,1157,10.5,4,60,0.47,50,7.0,6.9,72.3,1,2015,139.7
Jarvis Landry*,24,16,16,131,94,0.718,1136,12.1,4,53,0.534,71,8.7,5.9,71.0,2,2016,137.6
Jarvis Landry*,25,16,16,161,112,0.696,987,8.8,9,62,0.516,49,6.1,7.0,61.7,4,2017,152.7
Jason Witten*,30,16,16,147,110,0.748,1039,9.4,3,56,0.653,36,7.1,6.9,64.9,0,2012,121.9
Jason Witten*,31,16,16,111,73,0.658,851,11.7,8,44,0.55,34,7.7,4.6,53.2,0,2013,133.1
Jason Witten*,32,16,16,90,64,0.711,703,11.0,5,48,0.589,34,7.8,4.0,43.9,0,2014,100.3
Jeremy Maclin,24,15,15,122,69,0.566,857,12.4,7,37,0.426,70,7.0,4.6,57.1,1,2012,127.7
Jeremy Maclin,26,16,16,143,85,0.594,1318,15.5,10,56,0.524,72,9.2,5.3,82.4,0,2014,191.8
Jeremy Maclin,27,15,15,124,87,0.702,1088,12.5,8,50,0.573,61,8.8,5.8,72.5,2,2015,156.8
Jimmy Graham*,28,16,13,125,85,0.68,889,10.5,10,54,0.624,29,7.1,5.3,55.6,2,2014,148.9
Jimmy Graham*,30,16,15,95,65,0.684,923,14.2,6,45,0.589,42,9.7,4.1,57.7,2,2016,128.3
Jimmy Graham*,31,16,13,96,57,0.594,520,9.1,10,34,0.49,33,5.4,3.6,32.5,0,2017,112.0
Jordy Nelson,27,12,10,73,49,0.671,745,15.2,7,36,0.575,73,10.2,4.1,62.1,0,2012,116.5
Jordy Nelson,28,16,16,127,85,0.669,1314,15.5,8,60,0.567,76,10.3,5.3,82.1,0,2013,179.4
Jordy Nelson,31,16,16,152,97,0.638,1257,13.0,14,62,0.592,60,8.3,6.1,78.6,1,2016,209.7
Julian Edelman,28,14,13,134,92,0.687,972,10.6,4,50,0.552,69,7.3,6.6,69.4,3,2014,121.2
Julian Edelman,29,9,9,88,61,0.693,692,11.3,7,37,0.591,59,7.9,6.8,76.9,1,2015,111.2
Julian Edelman,30,16,13,159,98,0.616,1106,11.3,3,56,0.522,77,7.0,6.1,69.1,3,2016,128.6
Julio Jones*,23,16,15,128,79,0.617,1198,15.2,10,56,0.547,80,9.4,4.9,74.9,0,2012,179.8
Julio Jones*,25,15,15,163,104,0.638,1593,15.3,6,76,0.558,79,9.8,6.9,106.2,2,2014,195.3
Julio Jones*,28,16,16,148,88,0.595,1444,16.4,3,67,0.547,53,9.8,5.5,90.3,0,2017,162.4
Kenny Stills,22,15,7,83,63,0.759,931,14.8,3,47,0.723,69,11.2,4.2,62.1,1,2014,111.1
Kenny Stills,24,16,16,81,42,0.519,726,17.3,9,30,0.457,74,9.0,2.6,45.4,0,2016,126.6
Kenny Stills,25,16,16,105,58,0.552,847,14.6,6,36,0.505,61,8.1,3.6,52.9,4,2017,120.7
Larry Fitzgerald*,32,16,16,145,109,0.752,1215,11.1,9,65,0.655,44,8.4,6.8,75.9,2,2015,175.5
Larry Fitzgerald*,33,16,16,150,107,0.713,1023,9.6,6,60,0.58,33,6.8,6.7,63.9,2,2016,138.3
Larry Fitzgerald*,34,16,16,161,109,0.677,1156,10.6,6,65,0.528,37,7.2,6.8,72.3,1,2017,151.6
Marques Colston,29,16,13,130,83,0.638,1154,13.9,10,64,0.623,60,8.9,5.2,72.1,4,2012,175.4
Marques Colston,30,15,11,111,75,0.676,943,12.6,5,54,0.649,35,8.5,5.0,62.9,0,2013,124.3
Marques Colston,31,16,13,100,59,0.59,902,15.3,5,45,0.58,57,9.0,3.7,56.4,1,2014,120.2
Marvin Jones,25,16,13,103,65,0.631,816,12.6,4,34,0.524,47,7.9,4.1,51.0,0,2015,105.6
Marvin Jones,26,15,15,103,55,0.534,930,16.9,4,41,0.476,73,9.0,3.7,62.0,0,2016,117.0
