Quarterbacks,PredictionPass,Running Backs,PredictionRush,Receivers,PredictionRec
Andy Dalton,377.5996,Zack Moss,134.7003,Ricky Seals-Jones,105.37323
Daniel Jones,374.27817,Chase Edmonds,132.77852,Foster Moreau,104.87075
Baker Mayfield,372.90787,Rashaad Penny,132.60495,Kyle Juszczyk,104.46672
Justin Fields,371.61447,Jamaal Williams,131.02599,Tony Pollard,103.99024
Lamar Jackson,370.59677,Alexander Mattison,129.23203,Demarcus Robinson,103.5959
Carson Wentz,369.51254,Kareem Hunt,126.268456,Cameron Brate,103.38206
Sam Darnold,369.19293,Khalil Herbert,125.714066,Saquon Barkley,102.90328
Gardner Minshew II,363.60587,Chuba Hubbard,124.070984,James Conner,102.89932
Russell Wilson,359.69528,D'Onta Foreman,115.348915,Tre'Quan Smith,102.34387
Ryan Fitzpatrick,358.52615,D'Andre Swift,114.83011,Antonio Gibson,102.043434
Jalen Hurts,357.07126,Alvin Kamara,113.32802,Jordan Akins,100.709274
Trevor Lawrence,355.6328,Mike Davis,112.3997,David Moore,100.691895
Mitchell Trubisky,355.53815,Raheem Mostert,109.43061,Ezekiel Elliott,100.47714
Tua Tagovailoa,353.9123,Gus Edwards,109.15945,Nyheim Hines,100.21063
Mac Jones,352.5799,Sony Michel,106.897194,D'Andre Swift,99.71165
Kyler Murray,348.75522,Rhamondre Stevenson,106.464455,Josh Reynolds,99.62412
Jared Goff,346.85654,Miles Sanders,105.74902,Nico Collins,99.57715
Derek Carr,342.26764,Christian McCaffrey,104.5175,Joe Mixon,99.2793
Jameis Winston,340.9968,AJ Dillon,101.337326,Nelson Agholor,98.52061
Jimmy Garoppolo,333.86285,Tony Pollard,97.10019,Kareem Hunt,98.46127
Matt Ryan,333.63425,Frank Gore,96.80378,David Montgomery,98.42662
Matthew Stafford,327.7825,Leonard Fournette,95.662895,Rondale Moore,98.38943
Dak Prescott,327.56866,Saquon Barkley,94.91319,Damiere Byrd,98.24208
Ryan Tannehill,327.3585,Aaron Jones,93.87355,Dalvin Cook,97.25528
Deshaun Watson,324.16467,Damien Harris,93.540375,Nick Westbrook-Ikhine,97.21387
Kirk Cousins,318.36807,Ronald Jones II,92.02285,Darius Slayton,96.88138
Josh Allen,315.97794,David Montgomery,91.8359,Michael Gallup,96.76248
Justin Herbert,305.1954,Carlos Hyde,89.66788,Jack Doyle,96.65599
Joe Burrow,301.6651,Jordan Howard,89.23193,David Johnson,96.454834
Philip Rivers,298.07416,Devin Singletary,86.552345,Aaron Jones,96.29493
Ben Roethlisberger,294.32242,James Robinson,81.571945,Randall Cobb,96.13187
Patrick Mahomes,290.7821,Latavius Murray,80.03619,Odell Beckham Jr.,95.69437
Drew Brees,276.62674,Najee Harris,78.31035,Austin Hooper,95.1039
Aaron Rodgers,260.7358,Antonio Gibson,76.86462,Dawson Knox,94.651825
Tom Brady,254.88371,Melvin Gordon,74.5986,Breshad Perriman,94.24319
,,Jonathan Taylor,74.20997,Kenyan Drake,93.9399
,,Phillip Lindsay,73.94875,Keelan Cole,93.61748
,,Mark Ingram,73.8251,Josh Palmer,92.579926
,,James Conner,71.53853,Jonnu Smith,91.88194
,,Joe Mixon,69.89688,Elijah Moore,91.785645
,,Kenyan Drake,69.502426,Zach Ertz,91.77442
,,Adrian Peterson,68.192635,Alvin Kamara,91.45594
,,Nick Chubb,68.0,Hayden Hurst,91.21993
,,Chris Carson,68.0,Willie Snead,90.85232
,,Austin Ekeler,68.0,Leonard Fournette,90.61203
,,Dalvin Cook,68.0,DeVante Parker,90.55793
,,Josh Jacobs,68.0,Darren Waller,90.23392
